StrandDecidingMethod,Group,Sample,SamplePath,A2CEditingIndex,A2GEditingIndex,A2TEditingIndex,C2AEditingIndex,C2GEditingIndex,C2TEditingIndex
RefSeqThenMMSites,Editing_Index_Unknown,20190828.B-PBO-C5_blood_,/mnt/vol3/BulkRnaSeq/PBO/bam/20190828.B-PBO-C5_blood_Aligned.sortedByCoord.out.bam,0.0123996887526,0.130630581845,0.0148167041506,0.0184197154472,0.00864143796607,0.0544461712764
RefSeqThenMMSites,Editing_Index_Unknown,20190828.B-PBO-D3_blood_,/mnt/vol3/BulkRnaSeq/PBO/bam/20190828.B-PBO-D3_blood_Aligned.sortedByCoord.out.bam,0.0111419579724,0.0991936331673,0.0150710791524,0.0156958307617,0.00865366363726,0.0553763038851
RefSeqThenMMSites,Editing_Index_Unknown,20190828.B-PBO-C2_blood_,/mnt/vol3/BulkRnaSeq/PBO/bam/20190828.B-PBO-C2_blood_Aligned.sortedByCoord.out.bam,0.00945758359424,0.191957162524,0.0129497356695,0.0165883309395,0.00742976858281,0.0467457526105
RefSeqThenMMSites,Editing_Index_Unknown,20190828.B-PBO-D2_blood_,/mnt/vol3/BulkRnaSeq/PBO/bam/20190828.B-PBO-D2_blood_Aligned.sortedByCoord.out.bam,0.00765507271264,0.0650738685587,0.011536190549,0.0145930619315,0.00723625066225,0.0422820665734
RefSeqThenMMSites,Editing_Index_Unknown,20190821.B-PBO-C2_muscle_,/mnt/vol3/BulkRnaSeq/PBO/bam/20190821.B-PBO-C2_muscle_Aligned.sortedByCoord.out.bam,0.00578673578565,0.054731125422,0.010107508765,0.013662989165,0.00572372926457,0.0361999361609
RefSeqThenMMSites,Editing_Index_Unknown,20190821.B-PBO-C5_muscle_,/mnt/vol3/BulkRnaSeq/PBO/bam/20190821.B-PBO-C5_muscle_Aligned.sortedByCoord.out.bam,0.00620905901711,0.0507176836035,0.00951387662331,0.0128900528257,0.00535086573758,0.035623355553
RefSeqThenMMSites,Editing_Index_Unknown,20190821.B-PBO-D2_muscle_,/mnt/vol3/BulkRnaSeq/PBO/bam/20190821.B-PBO-D2_muscle_Aligned.sortedByCoord.out.bam,0.00618805595606,0.0646373296808,0.0103575653556,0.0133341520971,0.005494395596,0.0373673418099
RefSeqThenMMSites,Editing_Index_Unknown,20190821.B-PBO-D3_muscle_,/mnt/vol3/BulkRnaSeq/PBO/bam/20190821.B-PBO-D3_muscle_Aligned.sortedByCoord.out.bam,0.00612561800976,0.0541349761315,0.00931680068559,0.0131277888413,0.0057605730295,0.0364865804739
RefSeqThenMMSites,Editing_Index_Unknown,20190821.B-PBO-C3_muscle_,/mnt/vol3/BulkRnaSeq/PBO/bam/20190821.B-PBO-C3_muscle_Aligned.sortedByCoord.out.bam,0.00592924805784,0.0568945488091,0.00925152582623,0.0134625149441,0.00494734715964,0.033404787074
RefSeqThenMMSites,Editing_Index_Unknown,20190821.B-PBO-D1_muscle_,/mnt/vol3/BulkRnaSeq/PBO/bam/20190821.B-PBO-D1_muscle_Aligned.sortedByCoord.out.bam,0.00583132575366,0.0563098913639,0.00946180555809,0.0133420810873,0.00463510485425,0.0343305060962
RefSeqThenMMSites,Editing_Index_Unknown,20190828.B-PBO-C3_blood_,/mnt/vol3/BulkRnaSeq/PBO/bam/20190828.B-PBO-C3_blood_Aligned.sortedByCoord.out.bam,0.0107636911081,0.0758607119343,0.0140061877005,0.0159946578262,0.00787193009139,0.047913534772
RefSeqThenMMSites,Editing_Index_Unknown,20190828.B-PBO-D1_blood_,/mnt/vol3/BulkRnaSeq/PBO/bam/20190828.B-PBO-D1_blood_Aligned.sortedByCoord.out.bam,0.00848454716719,0.0747734706571,0.0114098192079,0.0155836858112,0.006566826851,0.0424177475067
