TubeID;SampleID;Treatment [Factor];wpi [Factor];Region [Factor]
p1608_4212/19;PB-11_blood;RML6;4;blood
p1608_4211/55;PB-11_muscle;RML6;4;muscle
p1608_4211/19;PB-11_spleen;RML6;4;spleen
p1608_4212/38;PB-14_blood;NBH;4;blood
p1608_4211/92;PB-14_muscle;NBH;4;muscle
p1608_4211/74;PB-14_spleen;NBH;4;spleen
p1608_4212/20;PB-16_blood;NBH;4;blood
p1608_4211/56;PB-16_muscle;NBH;4;muscle
p1608_4211/20;PB-16_spleen;NBH;4;spleen
p1608_4212/1;PB-2_blood;RML6;4;blood
p1608_4211/37;PB-2_muscle;RML6;4;muscle
p1608_4211/1;PB-2_spleen;RML6;4;spleen
p1608_4212/2;PB-7_blood;NBH;4;blood
p1608_4211/38;PB-7_muscle;NBH;4;muscle
p1608_4211/2;PB-7_spleen;NBH;4;spleen
p1608_4212/37;PB-9_blood;RML6;4;blood
p1608_4211/91;PB-9_muscle;RML6;4;muscle
p1608_4211/73;PB-9_spleen;RML6;4;spleen
p1608_5588/43;PB-17_blood;RML6;8;blood
p1608_5588/2;PB-22_muscle;NBH;8;muscle
p1608_4212/3;PB-18_blood;RML6;8;blood
p1608_4211/40;PB-23_muscle;NBH;8;muscle
p1608_4211/3;PB-18_spleen;RML6;8;spleen
p1608_5588/57;PB-19_blood;RML6;8;blood
p1608_5588/16;PB-24_muscle;NBH;8;muscle
p1608_5588/44;PB-22_blood;NBH;8;blood
p1608_4211/58;PB-30_muscle;NBH;8;muscle
p1608_4212/4;PB-23_blood;NBH;8;blood
p1608_4211/94;PB-31_muscle;NBH;8;muscle
p1608_4211/4;PB-23_spleen;NBH;8;spleen
p1608_5588/58;PB-24_blood;NBH;8;blood
p1608_5588/30;PB-32_muscle;NBH;8;muscle
p1608_4212/39;PB-25_blood;RML6;8;blood
p1608_5588/12;PBH-10_muscle;NBH;8;muscle
p1608_4211/75;PB-25_spleen;RML6;8;spleen
p1608_4212/21;PB-27_blood;RML6;8;blood
p1608_5588/26;PBH-11_muscle;NBH;8;muscle
p1608_4211/21;PB-27_spleen;RML6;8;spleen
p1608_5588/70;PB-28_blood;RML6;8;blood
p1608_5588/40;PBH-12_muscle;NBH;8;muscle
p1608_4212/22;PB-30_blood;NBH;8;blood
p1608_5588/14;PBO-D1_muscle;NBH_old;8;muscle
p1608_4211/22;PB-30_spleen;NBH;8;spleen
p1608_4212/40;PB-31_blood;NBH;8;blood
p1608_5588/28;PBO-D2_muscle;NBH_old;8;muscle
p1608_4211/76;PB-31_spleen;NBH;8;spleen
p1608_5588/71;PB-32_blood;NBH;8;blood
p1608_5588/42;PBO-D3_muscle;NBH_old;8;muscle
p1608_5588/54;PBH-10_blood;NBH;8;blood
p1608_5588/1;PB-17_muscle;RML6;8;muscle
p1608_5588/67;PBH-11_blood;NBH;8;blood
p1608_4211/39;PB-18_muscle;RML6;8;muscle
p1608_5588/81;PBH-12_blood;NBH;8;blood
p1608_5588/15;PB-19_muscle;RML6;8;muscle
p1608_5588/53;PBH-7_blood;RML6;8;blood
p1608_4211/93;PB-25_muscle;RML6;8;muscle
p1608_5588/66;PBH-8_blood;RML6;8;blood
p1608_4211/57;PB-27_muscle;RML6;8;muscle
p1608_5588/80;PBH-9_blood;RML6;8;blood
p1608_5588/29;PB-28_muscle;RML6;8;muscle
p1608_5588/55;PBO-C2_blood;RML6_old;8;blood
p1608_5588/11;PBH-7_muscle;RML6;8;muscle
p1608_5588/68;PBO-C3_blood;RML6_old;8;blood
p1608_5588/25;PBH-8_muscle;RML6;8;muscle
p1608_5588/82;PBO-C5_blood;RML6_old;8;blood
p1608_5588/39;PBH-9_muscle;RML6;8;muscle
p1608_5588/56;PBO-D1_blood;NBH_old;8;blood
p1608_5588/13;PBO-C2_muscle;RML6_old;8;muscle
p1608_5588/69;PBO-D2_blood;NBH_old;8;blood
p1608_5588/27;PBO-C3_muscle;RML6_old;8;muscle
p1608_5588/83;PBO-D3_blood;NBH_old;8;blood
p1608_5588/41;PBO-C5_muscle;RML6_old;8;muscle
p1608_5588/45;PB-33_blood;RML6;12;blood
p1608_4211/42;PB-39_muscle;NBH;12;muscle
p1608_4212/5;PB-34_blood;RML6;12;blood
p1608_4211/60;PB-46_muscle;NBH;12;muscle
p1608_4211/5;PB-34_spleen;RML6;12;spleen
p1608_5588/72;PB-35_blood;RML6;12;blood
p1608_4211/96;PB-47_muscle;NBH;12;muscle
p1608_5588/46;PB-38_blood;NBH;12;blood
p1608_5588/18;PB-48_muscle;NBH;12;muscle
p1608_4212/6;PB-39_blood;NBH;12;blood
p1608_5588/32;PB-40_muscle;NBH;12;muscle
p1608_4211/6;PB-39_spleen;NBH;12;spleen
p1608_5588/4;PB-38_muscle;NBH;12;muscle
p1608_4212/41;PB-41_blood;RML6;12;blood
p1608_4211/41;PB-34_muscle;RML6;12;muscle
p1608_4211/77;PB-41_spleen;RML6;12;spleen
p1608_5588/59;PB-42_blood;RML6;12;blood
p1608_4211/59;PB-43_muscle;RML6;12;muscle
p1608_4212/23;PB-43_blood;RML6;12;blood
p1608_4211/95;PB-41_muscle;RML6;12;muscle
p1608_4211/23;PB-43_spleen;RML6;12;spleen
p1608_4212/24;PB-46_blood;NBH;12;blood
p1608_5588/17;PB-42_muscle;RML6;12;muscle
p1608_4211/24;PB-46_spleen;NBH;12;spleen
p1608_4212/42;PB-47_blood;NBH;12;blood
p1608_5588/3;PB-33_muscle;RML6;12;muscle
p1608_4211/78;PB-47_spleen;NBH;12;spleen
p1608_5588/60;PB-48_blood;NBH;12;blood
p1608_5588/31;PB-35_muscle;RML6;12;muscle
p1608_4212/13;PB-50_blood;RML6;14;blood
